INSTITUICAO,COD_IBGE,UF,POPULACAO,INDICADOR_1,NOTA_1,INDICADOR_2,NOTA_2,INDICADOR_3,NOTA_3,CLASSIFICACAO_CAPAG,ANO_BASE
Prefeitura Municipal de Abadia de Goiás - GO,5200050,GO,,,n.d.,"0,900312012",B,,n.d.,n.d.,2017
Prefeitura Municipal de Abadia dos Dourados - MG,3100104,MG,7037,"0,250646502",A,"0,943000938",B,,n.d.,n.d.,2017
Prefeitura Municipal de Abadiânia - GO,5200100,GO,,,n.d.,"0,93816839",B,,n.d.,n.d.,2017
Prefeitura Municipal de Abaeté - MG,3100203,MG,23574,"0,877674422",B,"0,954212069",C,,n.d.,n.d.,2017
Prefeitura Municipal de Abaetetuba - PA,1500107,PA,151934,"0,004167725",A,"0,965144083",C,"0,605537232",A,C,2017
Prefeitura Municipal de Abaiara - CE,2300101,CE,11483,"0,749752548",B,,n.d.,"4,62385834",C,n.d.,2017
Prefeitura Municipal de Abaíra - BA,2900108,BA,9212,"0,957019903",B,"0,909268191",B,,n.d.,n.d.,2017
Prefeitura Municipal de Abaré - BA,2900207,BA,19939,"0,507877838",A,"1,008977204",C,"7,945578224",C,C,2017
Prefeitura Municipal de Abatiá - PR,4100103,PR,7795,"0,379373656",A,"0,937297953",B,"0,147473895",A,B,2017
Prefeitura Municipal de Abdon Batista - SC,4200051,SC,2617,"0,056964532",A,"0,866556314",A,"0,297943101",A,A,2017
Prefeitura Municipal de Abel Figueiredo - PA,1500131,PA,7179,0,A,"1,719150955",C,"0,371190786",A,C,2017
Prefeitura Municipal de Abelardo Luz - SC,4200101,SC,17782,"0,079941044",A,"0,925552656",B,"2,120135223",C,C,2017
Prefeitura Municipal de Abre Campo - MG,3100302,MG,13726,"0,599776915",A,"1,039563967",C,,n.d.,n.d.,2017
Prefeitura Municipal de Abreu e Lima - PE,2600054,PE,98990,"0,206748699",A,"1,017401101",C,"14,27546836",C,C,2017
Prefeitura Municipal de Abreulândia - TO,1700251,TO,,,n.d.,"0,988224779",C,,n.d.,n.d.,2017
Prefeitura Municipal de Acaiaca - MG,3100401,MG,4061,"0,008213365",A,"0,942713616",B,"0,782823135",A,B,2017
Prefeitura Municipal de Açailândia - MA,2100055,MA,,,n.d.,"0,907708527",B,,n.d.,n.d.,2017
Prefeitura Municipal de Acajutiba - BA,2900306,BA,15764,"0,357456965",A,"0,975226576",C,,n.d.,n.d.,2017
Prefeitura Municipal de Acará - PA,1500206,PA,54080,"0,83939939",B,"0,961670323",C,"2,996778916",C,C,2017
Prefeitura Municipal de Acarape - CE,2300150,CE,16418,"0,852777217",B,"1,011585959",C,,n.d.,n.d.,2017
Prefeitura Municipal de Acaraú - CE,2300200,CE,61715,"0,098396792",A,"1,153268685",C,"10,1794358",C,C,2017
Prefeitura Municipal de Acari - RN,2400109,RN,11338,"0,488065424",A,"0,952827192",C,"1,296081216",C,C,2017
Prefeitura Municipal de Acauã - PI,2200053,PI,6951,0,A,"0,941908759",B,,n.d.,n.d.,2017
Prefeitura Municipal de Aceguá - RS,4300034,RS,4731,"0,018385029",A,"0,972928473",C,"1,02754465",C,C,2017
Prefeitura Municipal de Acopiara - CE,2300309,CE,53358,"0,30082125",A,"0,853544894",A,"0,531937804",A,A,2017
Prefeitura Municipal de Acorizal - MT,5100102,MT,5301,"0,00022993",A,"1,003619532",C,0,n.d.,n.d.,2017
Prefeitura Municipal de Acrelândia - AC,1200013,AC,14120,"-0,003586792",A,"1,003138781",C,"1,809872946",C,C,2017
Prefeitura Municipal de Acreúna - GO,5200134,GO,21905,"0,051781062",A,"0,892204215",A,"8,379265719",C,C,2017
Prefeitura Municipal de Açu - RN,2400208,RN,,,n.d.,"0,98487331",C,"3,049044744",C,n.d.,2017
Prefeitura Municipal de Açucena - MG,3100500,MG,10066,"0,07777825",A,"1,017918562",C,,n.d.,n.d.,2017
Prefeitura Municipal de Adamantina - SP,3500105,SP,35094,"0,050984917",A,"0,913918999",B,,n.d.,n.d.,2017
Prefeitura Municipal de Adelândia - GO,5200159,GO,,,n.d.,"0,983117048",C,,n.d.,n.d.,2017
Prefeitura Municipal de Adolfo - SP,3500204,SP,3616,"0,01836472",A,"0,968986584",C,"0,628824513",A,C,2017
Prefeitura Municipal de Adrianópolis - PR,4100202,PR,6293,"0,013109874",A,"0,973747756",C,"0,405080422",A,C,2017
Prefeitura Municipal de Adustina - BA,2900355,BA,17254,"0,090323522",A,"0,966665353",C,"0,031380558",A,C,2017
Prefeitura Municipal de Afogados da Ingazeira - PE,2600104,PE,36866,"0,088176426",A,"1,006404768",C,,n.d.,n.d.,2017
Prefeitura Municipal de Afonso Bezerra - RN,2400307,RN,11207,"0,329422358",A,"0,944916703",B,"0,317710436",A,B,2017
Prefeitura Municipal de Afonso Cláudio - ES,3200102,ES,32407,"0,020601605",A,"0,939056664",B,"0,56864104",A,B,2017
Prefeitura Municipal de Afonso Cunha - MA,2100105,MA,,,n.d.,"0,950877034",C,,n.d.,n.d.,2017
Prefeitura Municipal de Afrânio - PE,2600203,PE,19225,"0,027520647",A,"0,92389229",B,"7,85678065",C,C,2017
Prefeitura Municipal de Afuá - PA,1500305,PA,37778,,n.d.,"1,030191015",C,"0,07594461",A,n.d.,2017
Prefeitura Municipal de Agrestina - PE,2600302,PE,24454,"0,266495445",A,"0,961922557",C,"21,02107585",C,C,2017
Prefeitura Municipal de Agricolândia - PI,2200103,PI,5069,0,A,"0,952232145",C,,n.d.,n.d.,2017
Prefeitura Municipal de Agrolândia - SC,4200200,SC,10427,"0,02066782",A,"0,967383159",C,"0,25088615",A,C,2017
Prefeitura Municipal de Agronômica - SC,4200309,SC,5371,"0,043106774",A,"0,919396874",B,"0,000644149",A,B,2017
