ano,cod_ibge,nome_municipio,uf,pib
2015,1100015,Alta Floresta D'Oeste - RO,RO,421300
2015,1100023,Ariquemes - RO,RO,2037799
2015,1100031,Cabixi - RO,RO,116565
2015,1100049,Cacoal - RO,RO,1794478
2015,1100056,Cerejeiras - RO,RO,397736
2015,1100064,Colorado do Oeste - RO,RO,285372
2015,1100072,Corumbiara - RO,RO,190906
2015,1100080,Costa Marques - RO,RO,187170
2015,1100098,Espigão D'Oeste - RO,RO,483962
2015,1100106,Guajará-Mirim - RO,RO,682458
2015,1100114,Jaru - RO,RO,1207965
2015,1100122,Ji-Paraná - RO,RO,2755755
2015,1100130,Machadinho D'Oeste - RO,RO,451940
2015,1100148,Nova Brasilândia D'Oeste - RO,RO,272574
2015,1100155,Ouro Preto do Oeste - RO,RO,633050
2015,1100189,Pimenta Bueno - RO,RO,906443
2015,1100205,Porto Velho - RO,RO,13970352
2015,1100254,Presidente Médici - RO,RO,359302
2015,1100262,Rio Crespo - RO,RO,78522
2015,1100288,Rolim de Moura - RO,RO,1082400
2015,1100296,Santa Luzia D'Oeste - RO,RO,135949
2015,1100304,Vilhena - RO,RO,2185475
2015,1100320,São Miguel do Guaporé - RO,RO,454048
2015,1100338,Nova Mamoré - RO,RO,379824
2015,1100346,Alvorada D'Oeste - RO,RO,220491
2015,1100379,Alto Alegre dos Parecis - RO,RO,212357
2015,1100403,Alto Paraíso - RO,RO,258222
2015,1100452,Buritis - RO,RO,519513
2015,1100502,Novo Horizonte do Oeste - RO,RO,134273
2015,1100601,Cacaulândia - RO,RO,125344
2015,1100700,Campo Novo de Rondônia - RO,RO,223211
2015,1100809,Candeias do Jamari - RO,RO,399266
2015,1100908,Castanheiras - RO,RO,66529
2015,1100924,Chupinguaia - RO,RO,235664
2015,1100940,Cujubim - RO,RO,288031
2015,1101005,Governador Jorge Teixeira - RO,RO,154876
2015,1101104,Itapuã do Oeste - RO,RO,143840
2015,1101203,Ministro Andreazza - RO,RO,170866
2015,1101302,Mirante da Serra - RO,RO,178007
2015,1101401,Monte Negro - RO,RO,229497
2015,1101435,Nova União - RO,RO,103160
2015,1101450,Parecis - RO,RO,84439
2015,1101468,Pimenteiras do Oeste - RO,RO,79777
2015,1101476,Primavera de Rondônia - RO,RO,53386
2015,1101484,São Felipe D'Oeste - RO,RO,78389
2015,1101492,São Francisco do Guaporé - RO,RO,293297
2015,1101500,Seringueiras - RO,RO,180367
2015,1101559,Teixeirópolis - RO,RO,79344
2015,1101609,Theobroma - RO,RO,153737
2015,1101708,Urupá - RO,RO,183100
2015,1101757,Vale do Anari - RO,RO,118306
2015,1101807,Vale do Paraíso - RO,RO,124700
2015,1200013,Acrelândia - AC,AC,212961
2015,1200054,Assis Brasil - AC,AC,77234
2015,1200104,Brasiléia - AC,AC,388114
2015,1200138,Bujari - AC,AC,147868
2015,1200179,Capixaba - AC,AC,160134
2015,1200203,Cruzeiro do Sul - AC,AC,1060536
2015,1200252,Epitaciolândia - AC,AC,276370
2015,1200302,Feijó - AC,AC,322418
2015,1200328,Jordão - AC,AC,72755
2015,1200336,Mâncio Lima - AC,AC,179969
2015,1200344,Manoel Urbano - AC,AC,118697
2015,1200351,Marechal Thaumaturgo - AC,AC,159654
2015,1200385,Plácido de Castro - AC,AC,252968
2015,1200393,Porto Walter - AC,AC,97729
2015,1200401,Rio Branco - AC,AC,8258089
2015,1200427,Rodrigues Alves - AC,AC,166470
2015,1200435,Santa Rosa do Purus - AC,AC,57988
2015,1200450,Senador Guiomard - AC,AC,337471
2015,1200500,Sena Madureira - AC,AC,462253
2015,1200609,Tarauacá - AC,AC,398537
2015,1200708,Xapuri - AC,AC,202844
2015,1200807,Porto Acre - AC,AC,211744
2015,1300029,Alvarães - AM,AM,102360
2015,1300060,Amaturá - AM,AM,66484
2015,1300086,Anamã - AM,AM,83655
2015,1300102,Anori - AM,AM,154630
2015,1300144,Apuí - AM,AM,206200
2015,1300201,Atalaia do Norte - AM,AM,143243
2015,1300300,Autazes - AM,AM,265111
2015,1300409,Barcelos - AM,AM,151620
2015,1300508,Barreirinha - AM,AM,200195
2015,1300607,Benjamin Constant - AM,AM,245147
2015,1300631,Beruri - AM,AM,125637
2015,1300680,Boa Vista do Ramos - AM,AM,101807
2015,1300706,Boca do Acre - AM,AM,286360
2015,1300805,Borba - AM,AM,260752
2015,1300839,Caapiranga - AM,AM,135541
2015,1300904,Canutama - AM,AM,88114
2015,1301001,Carauari - AM,AM,251054
